Timestamp,PM2.5,PM10,Humidity,Temperature,SMA2.5,SMA10,SMAH,SMAT
2023-10-02 13:14:00,23.4,43.125,82.6825,27.82,,,,
2023-10-02 13:15:00,23.3,41.175,84.045,28.002499999999998,,,,
2023-10-02 13:16:00,22.96666666666667,42.06666666666667,82.59333333333332,28.58666666666667,,,,
2023-10-02 13:17:00,22.985449735449738,42.041798941798945,82.62042328042327,28.575449735449737,,,,
2023-10-02 13:18:00,23.004232804232807,42.01693121693122,82.64751322751322,28.56423280423281,,,,
2023-10-02 13:19:00,23.023015873015876,41.992063492063494,82.67460317460316,28.553015873015877,,,,
2023-10-02 13:20:00,23.041798941798945,41.96719576719577,82.70169312169311,28.541798941798945,,,,
2023-10-02 13:21:00,23.060582010582014,41.94232804232804,82.72878306878306,28.530582010582012,,,,
2023-10-02 13:22:00,23.079365079365083,41.91746031746032,82.75587301587301,28.519365079365084,,,,
2023-10-02 13:23:00,23.098148148148148,41.89259259259259,82.78296296296296,28.508148148148152,,,,
2023-10-02 13:24:00,23.116931216931217,41.867724867724874,82.8100529100529,28.49693121693122,,,,
2023-10-02 13:25:00,23.135714285714286,41.84285714285715,82.83714285714285,28.485714285714288,,,,
2023-10-02 13:26:00,23.154497354497355,41.81798941798942,82.8642328042328,28.47449735449736,,,,
2023-10-02 13:27:00,23.173280423280424,41.7931216931217,82.89132275132273,28.463280423280427,,,,
2023-10-02 13:28:00,23.192063492063493,41.76825396825397,82.91841269841268,28.452063492063495,,,,
2023-10-02 13:29:00,23.210846560846562,41.74338624338625,82.94550264550263,28.440846560846563,,,,
2023-10-02 13:30:00,23.22962962962963,41.71851851851852,82.97259259259258,28.429629629629634,,,,
2023-10-02 13:31:00,23.2484126984127,41.6936507936508,82.99968253968252,28.418412698412702,,,,
2023-10-02 13:32:00,23.26719576719577,41.66878306878307,83.02677248677247,28.40719576719577,,,,
2023-10-02 13:33:00,23.285978835978838,41.643915343915346,83.05386243386242,28.395978835978838,,,,
2023-10-02 13:34:00,23.304761904761907,41.61904761904762,83.08095238095237,28.38476190476191,,,,
2023-10-02 13:35:00,23.323544973544976,41.594179894179895,83.10804232804232,28.373544973544977,,,,
2023-10-02 13:36:00,23.34232804232804,41.56931216931217,83.13513227513226,28.362328042328045,,,,
2023-10-02 13:37:00,23.36111111111111,41.544444444444444,83.16222222222221,28.351111111111113,,,,
2023-10-02 13:38:00,23.37989417989418,41.51957671957672,83.18931216931216,28.339894179894184,,,,
2023-10-02 13:39:00,23.39867724867725,41.49470899470899,83.21640211640211,28.328677248677252,,,,
2023-10-02 13:40:00,23.417460317460318,41.469841269841275,83.24349206349206,28.31746031746032,,,,
2023-10-02 13:41:00,23.436243386243387,41.44497354497355,83.270582010582,28.306243386243388,,,,
2023-10-02 13:42:00,23.455026455026456,41.420105820105825,83.29767195767195,28.29502645502646,,,,
2023-10-02 13:43:00,23.473809523809525,41.3952380952381,83.3247619047619,28.283809523809527,,,,
2023-10-02 13:44:00,23.492592592592594,41.370370370370374,83.35185185185185,28.272592592592595,,,,
2023-10-02 13:45:00,23.511375661375663,41.34550264550265,83.3789417989418,28.261375661375663,,,,
2023-10-02 13:46:00,23.530158730158732,41.32063492063492,83.40603174603174,28.250158730158734,,,,
2023-10-02 13:47:00,23.5489417989418,41.2957671957672,83.43312169312169,28.238941798941802,,,,
2023-10-02 13:48:00,23.567724867724866,41.27089947089947,83.46021164021163,28.22772486772487,,,,
2023-10-02 13:49:00,23.586507936507935,41.24603174603175,83.48730158730157,28.216507936507938,,,,
2023-10-02 13:50:00,23.605291005291004,41.22116402116402,83.51439153439152,28.20529100529101,,,,
2023-10-02 13:51:00,23.624074074074073,41.196296296296296,83.54148148148147,28.194074074074077,,,,
2023-10-02 13:52:00,23.642857142857142,41.17142857142857,83.56857142857142,28.182857142857145,,,,
2023-10-02 13:53:00,23.66164021164021,41.146560846560845,83.59566137566136,28.171640211640213,,,,
2023-10-02 13:54:00,23.68042328042328,41.12169312169312,83.62275132275131,28.160423280423284,,,,
2023-10-02 13:55:00,23.69920634920635,41.096825396825395,83.64984126984126,28.149206349206352,,,,
2023-10-02 13:56:00,23.71798941798942,41.071957671957676,83.67693121693121,28.13798941798942,,,,
2023-10-02 13:57:00,23.736772486772487,41.04708994708995,83.70402116402116,28.126772486772488,,,,
2023-10-02 13:58:00,23.755555555555556,41.022222222222226,83.7311111111111,28.11555555555556,,,,
2023-10-02 13:59:00,23.774338624338625,40.9973544973545,83.75820105820105,28.104338624338627,,,,
2023-10-02 14:00:00,23.793121693121694,40.972486772486775,83.785291005291,28.093121693121695,,,,
2023-10-02 14:01:00,23.81190476190476,40.94761904761905,83.81238095238095,28.081904761904763,,,,
2023-10-02 14:02:00,23.83068783068783,40.922751322751324,83.8394708994709,28.070687830687834,,,,
2023-10-02 14:03:00,23.849470899470898,40.8978835978836,83.86656084656084,28.059470899470902,23.405746031746034,41.50898412698413,83.2352992063492,28.306596031746036
2023-10-02 14:04:00,23.868253968253967,40.87301587301587,83.89365079365079,28.04825396825397,23.41511111111111,41.46394444444445,83.25952222222222,28.311161111111115
2023-10-02 14:05:00,23.887037037037036,40.84814814814815,83.92074074074074,28.037037037037038,23.42685185185185,41.45740740740741,83.25703703703702,28.311851851851856
2023-10-02 14:06:00,23.905820105820105,40.82328042328042,83.94783068783069,28.02582010582011,23.44563492063492,41.43253968253969,83.28412698412698,28.300634920634923
