Date Time,Monitor ID,Location ID,PM10,PM2.5
14 Oct 2023 00:34,2,1,0.129,0.066
14 Oct 2023 00:35,2,1,0.131,0.064
14 Oct 2023 00:36,2,1,0.133,0.067
14 Oct 2023 00:37,2,1,0.133,0.066
14 Oct 2023 00:38,2,1,0.129,0.066
14 Oct 2023 00:39,2,1,0.130,0.066
14 Oct 2023 00:40,2,1,0.126,0.066
14 Oct 2023 00:41,2,1,0.134,0.066
14 Oct 2023 00:42,2,1,0.140,0.067
14 Oct 2023 00:43,2,1,0.130,0.064
14 Oct 2023 00:44,2,1,0.135,0.067
14 Oct 2023 00:45,2,1,0.129,0.065
14 Oct 2023 00:46,2,1,0.127,0.066
14 Oct 2023 00:47,2,1,0.131,0.067
14 Oct 2023 00:48,2,1,0.131,0.065
14 Oct 2023 00:49,2,1,0.130,0.068
14 Oct 2023 00:50,2,1,0.126,0.065
14 Oct 2023 00:51,2,1,0.127,0.064
14 Oct 2023 00:52,2,1,0.128,0.065
14 Oct 2023 00:53,2,1,0.130,0.066
14 Oct 2023 00:54,2,1,0.129,0.066
14 Oct 2023 00:55,2,1,0.127,0.066
14 Oct 2023 00:56,2,1,0.125,0.064
14 Oct 2023 00:57,2,1,0.127,0.066
14 Oct 2023 00:58,2,1,0.132,0.067
14 Oct 2023 00:59,2,1,0.122,0.063
14 Oct 2023 01:00,2,1,0.129,0.065
14 Oct 2023 01:01,2,1,0.132,0.067
14 Oct 2023 01:02,2,1,0.125,0.063
14 Oct 2023 01:03,2,1,0.129,0.065
14 Oct 2023 01:04,2,1,0.123,0.064
14 Oct 2023 01:05,2,1,0.125,0.063
14 Oct 2023 01:06,2,1,0.128,0.066
14 Oct 2023 01:07,2,1,0.132,0.066
14 Oct 2023 01:08,2,1,0.127,0.065
14 Oct 2023 01:09,2,1,0.125,0.064
14 Oct 2023 01:10,2,1,0.123,0.064
14 Oct 2023 01:11,2,1,0.126,0.064
14 Oct 2023 01:12,2,1,0.125,0.064
14 Oct 2023 01:13,2,1,0.124,0.063
14 Oct 2023 01:14,2,1,0.128,0.067
14 Oct 2023 01:15,2,1,0.129,0.063
14 Oct 2023 01:16,2,1,0.126,0.066
14 Oct 2023 01:17,2,1,0.123,0.064
14 Oct 2023 01:18,2,1,0.131,0.065
14 Oct 2023 01:19,2,1,0.124,0.065
14 Oct 2023 01:20,2,1,0.130,0.064
14 Oct 2023 01:21,2,1,0.124,0.065
14 Oct 2023 01:22,2,1,0.121,0.063
14 Oct 2023 01:23,2,1,0.129,0.066
14 Oct 2023 01:24,2,1,0.123,0.064
14 Oct 2023 01:25,2,1,0.124,0.063
14 Oct 2023 01:26,2,1,0.122,0.063
14 Oct 2023 01:27,2,1,0.123,0.064
14 Oct 2023 01:28,2,1,0.132,0.065
14 Oct 2023 01:29,2,1,0.126,0.065
14 Oct 2023 01:30,2,1,0.124,0.064
14 Oct 2023 01:31,2,1,0.125,0.065
14 Oct 2023 01:32,2,1,0.135,0.064
14 Oct 2023 01:33,2,1,0.125,0.065
14 Oct 2023 01:34,2,1,0.125,0.063
14 Oct 2023 01:35,2,1,0.123,0.064
14 Oct 2023 01:36,2,1,0.125,0.064
14 Oct 2023 01:37,2,1,0.127,0.065
14 Oct 2023 01:38,2,1,0.120,0.061
14 Oct 2023 01:39,2,1,0.125,0.065
14 Oct 2023 01:40,2,1,0.121,0.063
14 Oct 2023 01:41,2,1,0.126,0.063
14 Oct 2023 01:42,2,1,0.124,0.064
14 Oct 2023 01:43,2,1,0.129,0.065
14 Oct 2023 01:44,2,1,0.124,0.064
14 Oct 2023 01:45,2,1,0.129,0.063
14 Oct 2023 01:46,2,1,0.127,0.065
14 Oct 2023 01:47,2,1,0.124,0.065
14 Oct 2023 01:48,2,1,0.133,0.066
14 Oct 2023 01:49,2,1,0.132,0.065
14 Oct 2023 01:50,2,1,0.126,0.065
14 Oct 2023 01:51,2,1,0.136,0.066
14 Oct 2023 01:52,2,1,0.124,0.064
14 Oct 2023 01:53,2,1,0.130,0.065
14 Oct 2023 01:54,2,1,0.137,0.068
14 Oct 2023 01:55,2,1,0.131,0.064
14 Oct 2023 01:56,2,1,0.125,0.065
14 Oct 2023 01:57,2,1,0.137,0.067
14 Oct 2023 01:58,2,1,0.123,0.064
14 Oct 2023 01:59,2,1,0.135,0.065
14 Oct 2023 02:00,2,1,0.131,0.065
14 Oct 2023 02:01,2,1,0.127,0.066
14 Oct 2023 02:02,2,1,0.131,0.066
14 Oct 2023 02:03,2,1,0.125,0.064
14 Oct 2023 02:04,2,1,0.139,0.068
14 Oct 2023 02:05,2,1,0.135,0.066
14 Oct 2023 02:06,2,1,0.146,0.068
14 Oct 2023 02:07,2,1,0.130,0.066
14 Oct 2023 02:08,2,1,0.137,0.068
14 Oct 2023 02:09,2,1,0.135,0.069
14 Oct 2023 02:10,2,1,0.133,0.067
14 Oct 2023 02:11,2,1,0.135,0.067
14 Oct 2023 02:12,2,1,0.136,0.069
14 Oct 2023 02:13,2,1,0.135,0.068
14 Oct 2023 02:14,2,1,0.140,0.069
14 Oct 2023 02:15,2,1,0.141,0.069
14 Oct 2023 02:16,2,1,0.134,0.068
14 Oct 2023 02:17,2,1,0.136,0.069
14 Oct 2023 02:18,2,1,0.139,0.068
14 Oct 2023 02:19,2,1,0.140,0.068
14 Oct 2023 02:20,2,1,0.139,0.068
14 Oct 2023 02:21,2,1,0.142,0.070
14 Oct 2023 02:22,2,1,0.135,0.069
14 Oct 2023 02:23,2,1,0.143,0.068
14 Oct 2023 02:24,2,1,0.140,0.070
14 Oct 2023 02:25,2,1,0.142,0.068
14 Oct 2023 02:26,2,1,0.139,0.069
14 Oct 2023 02:27,2,1,0.138,0.069
14 Oct 2023 02:28,2,1,0.146,0.069
14 Oct 2023 02:29,2,1,0.141,0.072
14 Oct 2023 02:30,2,1,0.135,0.068
14 Oct 2023 02:31,2,1,0.138,0.069
14 Oct 2023 02:32,2,1,0.141,0.070
14 Oct 2023 02:33,2,1,0.141,0.070
14 Oct 2023 02:34,2,1,0.136,0.071
14 Oct 2023 02:35,2,1,0.136,0.071
14 Oct 2023 02:36,2,1,0.146,0.070
14 Oct 2023 02:37,2,1,0.140,0.072
14 Oct 2023 02:38,2,1,0.135,0.070
14 Oct 2023 02:39,2,1,0.147,0.072
14 Oct 2023 02:40,2,1,0.149,0.073
14 Oct 2023 02:41,2,1,0.138,0.070
14 Oct 2023 02:42,2,1,0.143,0.073
14 Oct 2023 02:43,2,1,0.148,0.073
14 Oct 2023 02:44,2,1,0.145,0.072
14 Oct 2023 02:45,2,1,0.154,0.072
14 Oct 2023 02:46,2,1,0.155,0.073
14 Oct 2023 02:47,2,1,0.153,0.074
14 Oct 2023 02:48,2,1,0.153,0.072
14 Oct 2023 02:49,2,1,0.170,0.075
14 Oct 2023 02:50,2,1,0.162,0.075
14 Oct 2023 02:51,2,1,0.173,0.075
14 Oct 2023 02:52,2,1,0.161,0.073
14 Oct 2023 02:53,2,1,0.163,0.073
14 Oct 2023 02:54,2,1,0.173,0.076
14 Oct 2023 02:55,2,1,0.171,0.074
14 Oct 2023 02:56,2,1,0.160,0.076
14 Oct 2023 02:57,2,1,0.182,0.076
14 Oct 2023 02:58,2,1,0.163,0.077
14 Oct 2023 02:59,2,1,0.174,0.077
14 Oct 2023 03:00,2,1,0.182,0.079
14 Oct 2023 03:01,2,1,0.174,0.076
14 Oct 2023 03:02,2,1,0.180,0.079
14 Oct 2023 03:03,2,1,0.176,0.077
14 Oct 2023 03:04,2,1,0.183,0.078
14 Oct 2023 03:05,2,1,0.172,0.079
14 Oct 2023 03:06,2,1,0.180,0.077
14 Oct 2023 03:07,2,1,0.183,0.080
14 Oct 2023 03:08,2,1,0.177,0.080
14 Oct 2023 03:09,2,1,0.192,0.079
14 Oct 2023 03:10,2,1,0.179,0.080
14 Oct 2023 03:11,2,1,0.179,0.080
14 Oct 2023 03:12,2,1,0.189,0.081
14 Oct 2023 03:13,2,1,0.182,0.079
14 Oct 2023 03:14,2,1,0.181,0.079
14 Oct 2023 03:15,2,1,0.188,0.081
14 Oct 2023 03:16,2,1,0.179,0.082
14 Oct 2023 03:17,2,1,0.189,0.079
14 Oct 2023 03:18,2,1,0.187,0.080
14 Oct 2023 03:19,2,1,0.189,0.082
14 Oct 2023 03:20,2,1,0.190,0.080
14 Oct 2023 03:21,2,1,0.192,0.081
14 Oct 2023 03:22,2,1,0.194,0.081
14 Oct 2023 03:23,2,1,0.190,0.079
14 Oct 2023 03:24,2,1,0.207,0.082
14 Oct 2023 03:25,2,1,0.193,0.082
14 Oct 2023 03:26,2,1,0.188,0.082
14 Oct 2023 03:27,2,1,0.191,0.083
14 Oct 2023 03:28,2,1,0.191,0.080
14 Oct 2023 03:29,2,1,0.193,0.081
14 Oct 2023 03:30,2,1,0.193,0.084
14 Oct 2023 03:31,2,1,0.190,0.080
14 Oct 2023 03:32,2,1,0.187,0.085
14 Oct 2023 03:33,2,1,0.186,0.081
14 Oct 2023 03:34,2,1,0.182,0.083
14 Oct 2023 03:35,2,1,0.190,0.080
14 Oct 2023 03:36,2,1,0.193,0.084
14 Oct 2023 03:37,2,1,0.185,0.084
14 Oct 2023 03:38,2,1,0.200,0.085
14 Oct 2023 03:39,2,1,0.182,0.080
14 Oct 2023 03:40,2,1,0.186,0.081
14 Oct 2023 03:41,2,1,0.188,0.081
14 Oct 2023 03:42,2,1,0.186,0.081
14 Oct 2023 03:43,2,1,0.183,0.080
14 Oct 2023 03:44,2,1,0.187,0.083
14 Oct 2023 03:45,2,1,0.182,0.079
14 Oct 2023 03:46,2,1,0.181,0.082
14 Oct 2023 03:47,2,1,0.194,0.081
14 Oct 2023 03:48,2,1,0.190,0.081
14 Oct 2023 03:49,2,1,0.187,0.083
14 Oct 2023 03:50,2,1,0.185,0.082
14 Oct 2023 03:51,2,1,0.187,0.080
14 Oct 2023 03:52,2,1,0.189,0.083
14 Oct 2023 03:53,2,1,0.192,0.083
14 Oct 2023 03:54,2,1,0.184,0.083
14 Oct 2023 03:55,2,1,0.175,0.080
14 Oct 2023 03:56,2,1,0.175,0.082
14 Oct 2023 03:57,2,1,0.194,0.084
14 Oct 2023 03:58,2,1,0.190,0.082
14 Oct 2023 03:59,2,1,0.190,0.083
14 Oct 2023 04:00,2,1,0.186,0.084
14 Oct 2023 04:01,2,1,0.180,0.085
14 Oct 2023 04:02,2,1,0.187,0.087
14 Oct 2023 04:03,2,1,0.179,0.083
14 Oct 2023 04:04,2,1,0.191,0.084
14 Oct 2023 04:05,2,1,0.186,0.084
14 Oct 2023 04:06,2,1,0.192,0.085
14 Oct 2023 04:07,2,1,0.190,0.083
14 Oct 2023 04:08,2,1,0.191,0.083
14 Oct 2023 04:09,2,1,0.186,0.084
14 Oct 2023 04:10,2,1,0.176,0.081
14 Oct 2023 04:11,2,1,0.190,0.084
14 Oct 2023 04:12,2,1,0.188,0.084
14 Oct 2023 04:13,2,1,0.185,0.083
14 Oct 2023 04:14,2,1,0.188,0.083
14 Oct 2023 04:15,2,1,0.185,0.084
14 Oct 2023 04:16,2,1,0.187,0.082
14 Oct 2023 04:17,2,1,0.185,0.085
14 Oct 2023 04:18,2,1,0.181,0.084
14 Oct 2023 04:19,2,1,0.181,0.083
14 Oct 2023 04:20,2,1,0.178,0.082
14 Oct 2023 04:21,2,1,0.174,0.079
14 Oct 2023 04:22,2,1,0.187,0.085
14 Oct 2023 04:23,2,1,0.188,0.083
14 Oct 2023 04:24,2,1,0.193,0.084
14 Oct 2023 04:25,2,1,0.182,0.082
14 Oct 2023 04:26,2,1,0.181,0.084
14 Oct 2023 04:27,2,1,0.184,0.084
14 Oct 2023 04:28,2,1,0.178,0.084
14 Oct 2023 04:29,2,1,0.184,0.081
14 Oct 2023 04:30,2,1,0.180,0.082
14 Oct 2023 04:31,2,1,0.180,0.083
14 Oct 2023 04:32,2,1,0.184,0.082
14 Oct 2023 04:33,2,1,0.187,0.084
14 Oct 2023 04:34,2,1,0.174,0.083
14 Oct 2023 04:35,2,1,0.186,0.082
14 Oct 2023 04:36,2,1,0.195,0.083
14 Oct 2023 04:37,2,1,0.187,0.085
14 Oct 2023 04:38,2,1,0.186,0.084
14 Oct 2023 04:39,2,1,0.184,0.085
14 Oct 2023 04:40,2,1,0.192,0.085
14 Oct 2023 04:41,2,1,0.173,0.082
14 Oct 2023 04:42,2,1,0.184,0.084
14 Oct 2023 04:43,2,1,0.191,0.082
14 Oct 2023 04:44,2,1,0.177,0.083
14 Oct 2023 04:45,2,1,0.191,0.084
14 Oct 2023 04:46,2,1,0.184,0.080
14 Oct 2023 04:47,2,1,0.183,0.084
14 Oct 2023 04:48,2,1,0.187,0.082
14 Oct 2023 04:49,2,1,0.186,0.086
14 Oct 2023 04:50,2,1,0.184,0.082
14 Oct 2023 04:51,2,1,0.189,0.083
14 Oct 2023 04:52,2,1,0.187,0.086
14 Oct 2023 04:53,2,1,0.193,0.084
14 Oct 2023 04:54,2,1,0.185,0.083
14 Oct 2023 04:55,2,1,0.196,0.087
14 Oct 2023 04:56,2,1,0.193,0.084
14 Oct 2023 04:57,2,1,0.192,0.084
14 Oct 2023 04:58,2,1,0.196,0.085
14 Oct 2023 04:59,2,1,0.179,0.084
14 Oct 2023 05:00,2,1,0.178,0.083
14 Oct 2023 05:01,2,1,0.176,0.082
14 Oct 2023 05:02,2,1,0.191,0.084
14 Oct 2023 05:03,2,1,0.181,0.082
14 Oct 2023 05:04,2,1,0.181,0.084
14 Oct 2023 05:05,2,1,0.182,0.086
14 Oct 2023 05:06,2,1,0.177,0.081
14 Oct 2023 05:07,2,1,0.179,0.084
14 Oct 2023 05:08,2,1,0.179,0.084
14 Oct 2023 05:09,2,1,0.183,0.083
14 Oct 2023 05:10,2,1,0.176,0.082
14 Oct 2023 05:11,2,1,0.181,0.080
14 Oct 2023 05:12,2,1,0.184,0.083
14 Oct 2023 05:13,2,1,0.177,0.080
14 Oct 2023 05:14,2,1,0.181,0.082
14 Oct 2023 05:15,2,1,0.183,0.083
14 Oct 2023 05:16,2,1,0.184,0.084
14 Oct 2023 05:17,2,1,0.181,0.083
14 Oct 2023 05:18,2,1,0.177,0.082
14 Oct 2023 05:19,2,1,0.172,0.081
14 Oct 2023 05:20,2,1,0.175,0.083
14 Oct 2023 05:21,2,1,0.184,0.082
14 Oct 2023 05:22,2,1,0.167,0.082
14 Oct 2023 05:23,2,1,0.170,0.083
14 Oct 2023 05:24,2,1,0.165,0.079
14 Oct 2023 05:25,2,1,0.168,0.082
14 Oct 2023 05:26,2,1,0.183,0.085
14 Oct 2023 05:27,2,1,0.169,0.084
14 Oct 2023 05:28,2,1,0.185,0.082
14 Oct 2023 05:29,2,1,0.191,0.086
14 Oct 2023 05:30,2,1,0.178,0.085
14 Oct 2023 05:31,2,1,0.169,0.082
14 Oct 2023 05:32,2,1,0.180,0.084
14 Oct 2023 05:33,2,1,0.178,0.084
14 Oct 2023 05:34,2,1,0.170,0.084
14 Oct 2023 05:35,2,1,0.175,0.084
14 Oct 2023 05:36,2,1,0.168,0.081
14 Oct 2023 05:37,2,1,0.177,0.084
14 Oct 2023 05:38,2,1,0.188,0.083
14 Oct 2023 05:39,2,1,0.182,0.084
14 Oct 2023 05:40,2,1,0.181,0.083
14 Oct 2023 05:41,2,1,0.180,0.084
14 Oct 2023 05:42,2,1,0.183,0.084
14 Oct 2023 05:43,2,1,0.178,0.085
14 Oct 2023 05:44,2,1,0.191,0.084
14 Oct 2023 05:45,2,1,0.176,0.086
14 Oct 2023 05:46,2,1,0.177,0.085
14 Oct 2023 05:47,2,1,0.180,0.086
14 Oct 2023 05:48,2,1,0.192,0.086
14 Oct 2023 05:49,2,1,0.185,0.087
14 Oct 2023 05:50,2,1,0.183,0.085
14 Oct 2023 05:51,2,1,0.173,0.084
14 Oct 2023 05:52,2,1,0.189,0.088
14 Oct 2023 05:53,2,1,0.179,0.085
14 Oct 2023 05:54,2,1,0.193,0.089
14 Oct 2023 05:55,2,1,0.184,0.087
14 Oct 2023 05:56,2,1,0.173,0.084
14 Oct 2023 05:57,2,1,0.182,0.086
14 Oct 2023 05:58,2,1,0.184,0.087
14 Oct 2023 05:59,2,1,0.187,0.089
14 Oct 2023 06:00,2,1,0.189,0.088
14 Oct 2023 06:01,2,1,0.188,0.088
14 Oct 2023 06:02,2,1,0.189,0.090
14 Oct 2023 06:03,2,1,0.186,0.089
14 Oct 2023 06:04,2,1,0.191,0.091
14 Oct 2023 06:05,2,1,0.183,0.088
14 Oct 2023 06:06,2,1,0.189,0.088
14 Oct 2023 06:07,2,1,0.188,0.089
14 Oct 2023 06:08,2,1,0.188,0.090
14 Oct 2023 06:09,2,1,0.187,0.088
14 Oct 2023 06:10,2,1,0.186,0.089
14 Oct 2023 06:11,2,1,0.183,0.087
14 Oct 2023 06:12,2,1,0.184,0.089
14 Oct 2023 06:13,2,1,0.191,0.091
14 Oct 2023 06:14,2,1,0.188,0.088
14 Oct 2023 06:15,2,1,0.182,0.090
14 Oct 2023 06:16,2,1,0.184,0.088
14 Oct 2023 06:17,2,1,0.191,0.092
14 Oct 2023 06:18,2,1,0.181,0.091
14 Oct 2023 06:19,2,1,0.185,0.090
14 Oct 2023 06:20,2,1,0.194,0.090
14 Oct 2023 06:21,2,1,0.193,0.090
14 Oct 2023 06:22,2,1,0.190,0.089
14 Oct 2023 06:23,2,1,0.184,0.092
14 Oct 2023 06:24,2,1,0.191,0.090
14 Oct 2023 06:25,2,1,0.186,0.088
14 Oct 2023 06:26,2,1,0.190,0.090
14 Oct 2023 06:27,2,1,0.178,0.088
14 Oct 2023 06:28,2,1,0.183,0.087
14 Oct 2023 06:29,2,1,0.184,0.089
14 Oct 2023 06:30,2,1,0.185,0.089
14 Oct 2023 06:31,2,1,0.191,0.089
14 Oct 2023 06:32,2,1,0.191,0.092
14 Oct 2023 06:33,2,1,0.186,0.089
14 Oct 2023 06:34,2,1,0.177,0.087
14 Oct 2023 06:35,2,1,0.191,0.088
14 Oct 2023 06:36,2,1,0.180,0.088
14 Oct 2023 06:37,2,1,0.184,0.086
14 Oct 2023 06:38,2,1,0.184,0.088
14 Oct 2023 06:39,2,1,0.177,0.085
14 Oct 2023 06:40,2,1,0.181,0.088
14 Oct 2023 06:41,2,1,0.178,0.087
14 Oct 2023 06:42,2,1,0.181,0.087
14 Oct 2023 06:43,2,1,0.178,0.086
14 Oct 2023 06:44,2,1,0.181,0.089
14 Oct 2023 06:45,2,1,0.188,0.089
14 Oct 2023 06:46,2,1,0.181,0.087
14 Oct 2023 06:47,2,1,0.182,0.085
14 Oct 2023 06:48,2,1,0.181,0.087
14 Oct 2023 06:49,2,1,0.181,0.086
14 Oct 2023 06:50,2,1,0.184,0.084
14 Oct 2023 06:51,2,1,0.185,0.085
14 Oct 2023 06:52,2,1,0.181,0.086
14 Oct 2023 06:53,2,1,0.189,0.086
14 Oct 2023 06:54,2,1,0.189,0.086
14 Oct 2023 06:55,2,1,0.178,0.087
14 Oct 2023 06:56,2,1,0.184,0.086
14 Oct 2023 06:57,2,1,0.181,0.086
14 Oct 2023 06:58,2,1,0.179,0.088
14 Oct 2023 06:59,2,1,0.177,0.085
14 Oct 2023 07:00,2,1,0.178,0.084
14 Oct 2023 07:01,2,1,0.188,0.088
14 Oct 2023 07:02,2,1,0.184,0.088
14 Oct 2023 07:03,2,1,0.190,0.088
14 Oct 2023 07:04,2,1,0.181,0.084
14 Oct 2023 07:05,2,1,0.189,0.088
14 Oct 2023 07:06,2,1,0.182,0.085
14 Oct 2023 07:07,2,1,0.184,0.088
14 Oct 2023 07:08,2,1,0.173,0.083
14 Oct 2023 07:09,2,1,0.182,0.086
14 Oct 2023 07:10,2,1,0.177,0.086
14 Oct 2023 07:11,2,1,0.174,0.084
14 Oct 2023 07:12,2,1,0.173,0.082
